Million_Plus_Cities,Age_band_of_driver,Accident_severity,Cause_of_accident,Vehicle Type Involved,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Latitude,Longitude,Time_Block
Ahmedabad,50+,Medium Risk,Other,Car,Clear,Highways,Normal,Daylight,23.0225,72.5714,Evening
Ahmedabad,18-30,Medium Risk,Driving carelessly,Truck,Foggy,Urban Road,Under Construction,Daylight,23.0225,72.5714,Evening
Allahabad(Prayagraj),50+,Medium Risk,Changing lane to the left,Truck,Clear,Highways,Normal,Dusk,20.5937,78.9629,Morning
Ahmedabad,31-50,Medium Risk,Driving carelessly,Car,Rainy,National Highway,Under Construction,Daylight,23.0225,72.5714,Evening
Kolkata,31-50,Medium Risk,Changing lane to the left,Auto-Rickshaw,Foggy,Highways,Normal,Daylight,22.5726,88.3639,Evening
Ahmedabad,18-30,Low Risk,No priority to vehicle,Auto-Rickshaw,Clear,Highways,Normal,Dawn,23.0225,72.5714,Morning
Indore,18-30,Low Risk,No distancing,Cycle,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Ahmedabad,18-30,Medium Risk,Changing lane to the right,Truck,Clear,National Highway,Damaged,Dawn,23.0225,72.5714,Morning
Ahmedabad,31-50,Low Risk,Changing lane to the right,Car,Rainy,Highways,Normal,Daylight,23.0225,72.5714,Night
Ahmedabad,31-50,Low Risk,Driving at high speed,Auto-Rickshaw,Clear,Highways,Normal,Dark,23.0225,72.5714,Morning
Asansol Durgapur,31-50,Medium Risk,No distancing,Cycle,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Ahmedabad,18-30,Medium Risk,Changing lane to the right,Car,Clear,Village Road,Normal,Daylight,23.0225,72.5714,Morning
Ahmedabad,18-30,Medium Risk,Changing lane to the left,Auto-Rickshaw,Hazy,National Highway,Dry,Daylight,23.0225,72.5714,Night
Indore,18-30,Low Risk,Getting off the vehicle improperly,Two-Wheeler,Rainy,Highways,Normal,Dusk,20.5937,78.9629,Night
Ahmedabad,31-50,Medium Risk,Other,Two-Wheeler,Rainy,National Highway,Wet,Daylight,23.0225,72.5714,Evening
Ahmedabad,50+,Medium Risk,Other,Two-Wheeler,Clear,National Highway,Under Construction,Daylight,23.0225,72.5714,Night
Ahmedabad,50+,Medium Risk,No distancing,Auto-Rickshaw,Clear,State Highway,Damaged,Dawn,23.0225,72.5714,Morning
Ahmedabad,50+,Medium Risk,No priority to vehicle,Pedestrian,Clear,State Highway,Dry,Dusk,23.0225,72.5714,Morning
Ahmedabad,18-30,Medium Risk,Overtaking,Bus,Clear,State Highway,Under Construction,Dark,23.0225,72.5714,Evening
Ahmedabad,18-30,Medium Risk,No priority to pedestrian,Car,Stormy,Highways,Normal,Dark,23.0225,72.5714,Night
Ahmedabad,31-50,Medium Risk,No distancing,Two-Wheeler,Clear,State Highway,Normal,Daylight,23.0225,72.5714,Night
Ahmedabad,50+,Medium Risk,Changing lane to the right,Cycle,Clear,Highways,Normal,Dawn,23.0225,72.5714,Night
Jamshedpur,18-30,Low Risk,Driving carelessly,Two-Wheeler,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Allahabad(Prayagraj),50+,Medium Risk,Changing lane to the right,Two-Wheeler,Hazy,State Highway,Dry,Daylight,20.5937,78.9629,Morning
Allahabad(Prayagraj),31-50,Low Risk,Overtaking,Pedestrian,Clear,Highways,Normal,Dawn,20.5937,78.9629,Morning
Allahabad(Prayagraj),31-50,Medium Risk,Other,Bus,Clear,Urban Road,Dry,Daylight,20.5937,78.9629,Morning
Delhi,31-50,Medium Risk,Driving to the left,Cycle,Foggy,Highways,Normal,Daylight,28.6139,77.209,Morning
Allahabad(Prayagraj),18-30,Medium Risk,Driving at high speed,Two-Wheeler,Hazy,Village Road,Dry,Daylight,20.5937,78.9629,Night
Allahabad(Prayagraj),31-50,Medium Risk,Unknown,Car,Clear,National Highway,Normal,Dawn,20.5937,78.9629,Morning
Allahabad(Prayagraj),31-50,Medium Risk,Changing lane to the right,Auto-Rickshaw,Clear,Urban Road,Wet,Dark,20.5937,78.9629,Evening
Allahabad(Prayagraj),18-30,Medium Risk,No distancing,Auto-Rickshaw,Clear,Village Road,Damaged,Dawn,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),18-30,Low Risk,Other,Auto-Rickshaw,Clear,Highways,Normal,Dusk,20.5937,78.9629,Evening
Allahabad(Prayagraj),31-50,Medium Risk,No priority to vehicle,Pedestrian,Clear,State Highway,Wet,Daylight,20.5937,78.9629,Morning
Meerut,50+,Low Risk,Changing lane to the left,Pedestrian,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Night
Allahabad(Prayagraj),31-50,Medium Risk,No priority to pedestrian,Truck,Clear,Village Road,Dry,Dark,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),31-50,Medium Risk,Overtaking,Truck,Foggy,Urban Road,Wet,Daylight,20.5937,78.9629,Afternoon
Chennai,31-50,Low Risk,Driving carelessly,Auto-Rickshaw,Clear,Highways,Normal,Dawn,13.0827,80.2707,Night
Allahabad(Prayagraj),31-50,Medium Risk,No priority to vehicle,Bus,Stormy,Village Road,Wet,Dark,20.5937,78.9629,Morning
Allahabad(Prayagraj),31-50,Medium Risk,No priority to pedestrian,Bus,Clear,State Highway,Wet,Daylight,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),18-30,Medium Risk,Changing lane to the right,Two-Wheeler,Clear,Highways,Normal,Dusk,20.5937,78.9629,Night
Allahabad(Prayagraj),18-30,Medium Risk,Driving carelessly,Cycle,Clear,State Highway,Dry,Dark,20.5937,78.9629,Night
Allahabad(Prayagraj),31-50,Medium Risk,Changing lane to the right,Car,Clear,Village Road,Damaged,Dark,20.5937,78.9629,Evening
Allahabad(Prayagraj),18-30,Medium Risk,Changing lane to the right,Cycle,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Allahabad(Prayagraj),31-50,Medium Risk,Changing lane to the left,Car,Stormy,Highways,Normal,Dark,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),31-50,Medium Risk,Overturning,Cycle,Rainy,Urban Road,Normal,Dark,20.5937,78.9629,Evening
Allahabad(Prayagraj),18-30,Medium Risk,Driving carelessly,Pedestrian,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Morning
Srinagar,18-30,Low Risk,No distancing,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),18-30,Medium Risk,Driving carelessly,Two-Wheeler,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Morning
Kota,18-30,Low Risk,Changing lane to the left,Two-Wheeler,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),31-50,Medium Risk,No priority to vehicle,Car,Rainy,Village Road,Damaged,Dusk,20.5937,78.9629,Evening
Allahabad(Prayagraj),18-30,Medium Risk,Changing lane to the right,Car,Clear,Urban Road,Normal,Dawn,20.5937,78.9629,Night
Allahabad(Prayagraj),18-30,Low Risk,No distancing,Car,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Night
Allahabad(Prayagraj),31-50,High Risk,Moving Backward,Cycle,Foggy,State Highway,Under Construction,Dusk,20.5937,78.9629,Night
Amritsar,31-50,High Risk,Moving Backward,Bus,Clear,Village Road,Under Construction,Daylight,20.5937,78.9629,Morning
Amritsar,18-30,Medium Risk,No distancing,Bus,Clear,Village Road,Dry,Dusk,20.5937,78.9629,Night
Thrissur,18-30,Medium Risk,No distancing,Car,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Amritsar,18-30,Low Risk,No distancing,Cycle,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Amritsar,18-30,Medium Risk,No priority to pedestrian,Auto-Rickshaw,Clear,Urban Road,Damaged,Dawn,20.5937,78.9629,Morning
Surat,18-30,Medium Risk,Driving carelessly,Car,Clear,Highways,Normal,Daylight,21.1702,72.8311,Night
Amritsar,18-30,Low Risk,Changing lane to the right,Two-Wheeler,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Amritsar,31-50,Medium Risk,Changing lane to the left,Cycle,Clear,National Highway,Dry,Dusk,20.5937,78.9629,Afternoon
Amritsar,18-30,Medium Risk,Driving carelessly,Car,Stormy,Village Road,Damaged,Daylight,20.5937,78.9629,Afternoon
Amritsar,18-30,Low Risk,Driving carelessly,Car,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Amritsar,18-30,Medium Risk,No distancing,Car,Clear,State Highway,Normal,Daylight,20.5937,78.9629,Afternoon
Madurai,31-50,Low Risk,Other,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Kota,18-30,Medium Risk,Changing lane to the right,Cycle,Rainy,Highways,Normal,Dusk,20.5937,78.9629,Morning
Thrissur,50+,Low Risk,Changing lane to the right,Two-Wheeler,Clear,Highways,Normal,Dusk,20.5937,78.9629,Morning
Amritsar,50+,Medium Risk,No distancing,Car,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Amritsar,18-30,Medium Risk,No distancing,Auto-Rickshaw,Clear,Village Road,Wet,Dark,20.5937,78.9629,Afternoon
Amritsar,31-50,Low Risk,Overturning,Pedestrian,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Ghaziabad,50+,Low Risk,Driving at high speed,Car,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Amritsar,18-30,Medium Risk,No priority to vehicle,Bus,Hazy,Highways,Normal,Dusk,20.5937,78.9629,Evening
Amritsar,18-30,Medium Risk,No priority to pedestrian,Car,Clear,Village Road,Under Construction,Dark,20.5937,78.9629,Morning
Amritsar,18-30,Medium Risk,No priority to vehicle,Auto-Rickshaw,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Evening
Amritsar,18-30,Low Risk,Other,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Amritsar,31-50,Medium Risk,Other,Pedestrian,Clear,Urban Road,Under Construction,Dark,20.5937,78.9629,Night
Amritsar,31-50,Medium Risk,Moving Backward,Auto-Rickshaw,Hazy,National Highway,Under Construction,Dusk,20.5937,78.9629,Morning
Amritsar,18-30,Medium Risk,No distancing,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Amritsar,31-50,Medium Risk,Moving Backward,Two-Wheeler,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Evening
Amritsar,31-50,Medium Risk,No priority to vehicle,Car,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Night
Amritsar,18-30,Medium Risk,Driving carelessly,Auto-Rickshaw,Clear,Village Road,Dry,Dawn,20.5937,78.9629,Afternoon
Amritsar,18-30,Medium Risk,No distancing,Two-Wheeler,Stormy,Urban Road,Normal,Daylight,20.5937,78.9629,Night
Tiruchirapalli,18-30,Medium Risk,Other,Car,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Asansol Durgapur,18-30,Medium Risk,Changing lane to the right,Cycle,Clear,State Highway,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,No distancing,Car,Clear,National Highway,Under Construction,Dark,20.5937,78.9629,Evening
Asansol Durgapur,31-50,Medium Risk,Driving carelessly,Car,Clear,National Highway,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Low Risk,No distancing,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Asansol Durgapur,18-30,Medium Risk,No priority to vehicle,Bus,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Morning
Asansol Durgapur,31-50,Medium Risk,Changing lane to the right,Cycle,Clear,Urban Road,Under Construction,Dark,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,No priority to pedestrian,Bus,Clear,State Highway,Under Construction,Daylight,20.5937,78.9629,Evening
Asansol Durgapur,18-30,Low Risk,No priority to vehicle,Two-Wheeler,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,Changing lane to the left,Pedestrian,Clear,Village Road,Wet,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,Turnover,Cycle,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Morning
Asansol Durgapur,50+,Medium Risk,Driving to the left,Cycle,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Evening
Asansol Durgapur,18-30,Low Risk,Driving carelessly,Pedestrian,Clear,Highways,Normal,Dark,20.5937,78.9629,Evening
Asansol Durgapur,18-30,Low Risk,Driving to the left,Bus,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,Driving carelessly,Two-Wheeler,Rainy,National Highway,Wet,Dark,20.5937,78.9629,Night
Mallapuram,50+,Low Risk,No priority to pedestrian,Cycle,Clear,Highways,Normal,Dusk,20.5937,78.9629,Morning
Kochi,18-30,Low Risk,Driving carelessly,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,Changing lane to the right,Car,Foggy,State Highway,Wet,Daylight,20.5937,78.9629,Night
Asansol Durgapur,31-50,Medium Risk,Moving Backward,Car,Stormy,State Highway,Under Construction,Daylight,20.5937,78.9629,Morning
Asansol Durgapur,18-30,Medium Risk,Driving carelessly,Two-Wheeler,Stormy,Village Road,Damaged,Daylight,20.5937,78.9629,Morning
Asansol Durgapur,31-50,Medium Risk,Changing lane to the right,Car,Hazy,Urban Road,Wet,Dawn,20.5937,78.9629,Evening
Asansol Durgapur,31-50,Medium Risk,Driving carelessly,Bus,Clear,State Highway,Under Construction,Dawn,20.5937,78.9629,Morning
Asansol Durgapur,31-50,Medium Risk,Driving carelessly,Auto-Rickshaw,Foggy,Village Road,Dry,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,Driving carelessly,Car,Stormy,State Highway,Dry,Daylight,20.5937,78.9629,Morning
Asansol Durgapur,18-30,Medium Risk,Changing lane to the right,Pedestrian,Clear,State Highway,Under Construction,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,Changing lane to the right,Pedestrian,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Asansol Durgapur,18-30,Medium Risk,Driving carelessly,Two-Wheeler,Rainy,Village Road,Wet,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,Overtaking,Truck,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,Changing lane to the right,Cycle,Clear,National Highway,Under Construction,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Medium Risk,No distancing,Truck,Clear,National Highway,Under Construction,Dark,20.5937,78.9629,Afternoon
Kochi,18-30,Low Risk,Other,Car,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Hyderabad,18-30,Low Risk,Changing lane to the right,Truck,Hazy,Highways,Normal,Dawn,17.385,78.4867,Afternoon
Aurangabad,31-50,Medium Risk,Changing lane to the right,Two-Wheeler,Foggy,National Highway,Damaged,Daylight,20.5937,78.9629,Morning
Aurangabad,31-50,Medium Risk,Overtaking,Bus,Clear,State Highway,Damaged,Dark,20.5937,78.9629,Night
Aurangabad,18-30,Medium Risk,Other,Cycle,Hazy,State Highway,Under Construction,Dark,20.5937,78.9629,Afternoon
Aurangabad,18-30,Medium Risk,Driving to the left,Car,Stormy,National Highway,Dry,Daylight,20.5937,78.9629,Evening
Aurangabad,50+,Medium Risk,Overtaking,Car,Clear,State Highway,Under Construction,Daylight,20.5937,78.9629,Night
Aurangabad,31-50,Medium Risk,No priority to vehicle,Car,Hazy,State Highway,Dry,Daylight,20.5937,78.9629,Evening
Aurangabad,31-50,Medium Risk,Moving Backward,Pedestrian,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Aurangabad,50+,Medium Risk,Other,Two-Wheeler,Stormy,Urban Road,Under Construction,Daylight,20.5937,78.9629,Morning
Aurangabad,18-30,Medium Risk,No priority to vehicle,Car,Rainy,National Highway,Under Construction,Daylight,20.5937,78.9629,Morning
Aurangabad,18-30,Medium Risk,No priority to pedestrian,Car,Rainy,Urban Road,Dry,Dawn,20.5937,78.9629,Night
Aurangabad,31-50,Medium Risk,Changing lane to the right,Pedestrian,Clear,Urban Road,Under Construction,Daylight,20.5937,78.9629,Evening
Aurangabad,18-30,Medium Risk,Changing lane to the right,Auto-Rickshaw,Clear,Village Road,Dry,Dusk,20.5937,78.9629,Afternoon
Aurangabad,31-50,Medium Risk,Changing lane to the right,Car,Hazy,National Highway,Dry,Dark,20.5937,78.9629,Afternoon
Aurangabad,31-50,Medium Risk,Driving to the left,Cycle,Hazy,State Highway,Wet,Dusk,20.5937,78.9629,Afternoon
Aurangabad,50+,Medium Risk,Changing lane to the left,Two-Wheeler,Clear,Village Road,Dry,Dusk,20.5937,78.9629,Afternoon
Aurangabad,18-30,Medium Risk,Moving Backward,Car,Stormy,Village Road,Wet,Dark,20.5937,78.9629,Afternoon
Aurangabad,18-30,Low Risk,Driving at high speed,Truck,Clear,Highways,Normal,Dark,20.5937,78.9629,Evening
Aurangabad,18-30,Medium Risk,Moving Backward,Truck,Clear,Highways,Normal,Dusk,20.5937,78.9629,Evening
Allahabad(Prayagraj),31-50,Low Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Aurangabad,31-50,Medium Risk,Other,Pedestrian,Clear,Village Road,Under Construction,Dark,20.5937,78.9629,Night
Aurangabad,18-30,Medium Risk,No priority to vehicle,Car,Clear,Village Road,Dry,Daylight,20.5937,78.9629,Night
Aurangabad,18-30,Medium Risk,Changing lane to the right,Cycle,Foggy,State Highway,Normal,Daylight,20.5937,78.9629,Night
Hyderabad,18-30,Medium Risk,Other,Cycle,Rainy,Highways,Normal,Daylight,17.385,78.4867,Evening
Aurangabad,31-50,Medium Risk,No distancing,Bus,Foggy,National Highway,Dry,Daylight,20.5937,78.9629,Evening
Aurangabad,18-30,Medium Risk,Driving carelessly,Bus,Rainy,Village Road,Normal,Dark,20.5937,78.9629,Night
Aurangabad,18-30,Medium Risk,No distancing,Pedestrian,Foggy,National Highway,Damaged,Dark,20.5937,78.9629,Evening
Vadodra,18-30,Low Risk,Moving Backward,Cycle,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Aurangabad,50+,Medium Risk,No distancing,Pedestrian,Stormy,National Highway,Damaged,Daylight,20.5937,78.9629,Night
Aurangabad,31-50,Medium Risk,Moving Backward,Two-Wheeler,Clear,State Highway,Damaged,Dusk,20.5937,78.9629,Morning
Delhi,31-50,Low Risk,No priority to pedestrian,Car,Clear,Highways,Normal,Dusk,28.6139,77.209,Evening
Bengaluru,31-50,Low Risk,Changing lane to the left,Pedestrian,Clear,Highways,Normal,Dark,12.9716,77.5946,Morning
Bengaluru,31-50,Medium Risk,No distancing,Cycle,Foggy,Urban Road,Damaged,Dark,12.9716,77.5946,Night
Bengaluru,50+,Medium Risk,Other,Cycle,Foggy,National Highway,Damaged,Dusk,12.9716,77.5946,Morning
Bengaluru,18-30,Medium Risk,No distancing,Auto-Rickshaw,Hazy,Urban Road,Dry,Daylight,12.9716,77.5946,Evening
Bengaluru,18-30,Low Risk,No priority to pedestrian,Two-Wheeler,Rainy,Highways,Normal,Dusk,12.9716,77.5946,Morning
Bengaluru,18-30,Medium Risk,Moving Backward,Cycle,Clear,Urban Road,Under Construction,Daylight,12.9716,77.5946,Morning
Bengaluru,31-50,Medium Risk,No priority to pedestrian,Auto-Rickshaw,Stormy,Village Road,Under Construction,Daylight,12.9716,77.5946,Night
Bengaluru,18-30,Low Risk,No distancing,Car,Clear,Highways,Normal,Daylight,12.9716,77.5946,Morning
Bengaluru,31-50,Medium Risk,No priority to pedestrian,Cycle,Clear,National Highway,Damaged,Dark,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,Driving carelessly,Auto-Rickshaw,Clear,State Highway,Under Construction,Dark,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,Getting off the vehicle improperly,Car,Clear,Village Road,Wet,Dusk,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,Driving carelessly,Bus,Foggy,National Highway,Damaged,Dawn,12.9716,77.5946,Evening
Bengaluru,18-30,Medium Risk,Changing lane to the left,Bus,Foggy,National Highway,Wet,Daylight,12.9716,77.5946,Evening
Bengaluru,18-30,Medium Risk,No priority to vehicle,Car,Hazy,Urban Road,Under Construction,Dawn,12.9716,77.5946,Afternoon
Bengaluru,50+,Medium Risk,Changing lane to the right,Two-Wheeler,Stormy,State Highway,Wet,Dawn,12.9716,77.5946,Morning
Bengaluru,18-30,Medium Risk,Changing lane to the right,Pedestrian,Clear,National Highway,Damaged,Daylight,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,No distancing,Car,Clear,Village Road,Wet,Dark,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,No distancing,Pedestrian,Clear,State Highway,Under Construction,Dark,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,Changing lane to the left,Pedestrian,Foggy,Urban Road,Normal,Daylight,12.9716,77.5946,Afternoon
Nashik,18-30,Low Risk,Changing lane to the right,Auto-Rickshaw,Hazy,Highways,Normal,Dawn,20.5937,78.9629,Afternoon
Bengaluru,18-30,Medium Risk,No priority to vehicle,Bus,Rainy,National Highway,Damaged,Daylight,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,Changing lane to the left,Cycle,Hazy,State Highway,Damaged,Dusk,12.9716,77.5946,Afternoon
Bengaluru,18-30,Medium Risk,No priority to vehicle,Car,Stormy,State Highway,Dry,Dusk,12.9716,77.5946,Evening
Bengaluru,18-30,Medium Risk,Moving Backward,Two-Wheeler,Hazy,Urban Road,Under Construction,Dawn,12.9716,77.5946,Afternoon
Bengaluru,31-50,Medium Risk,Turnover,Cycle,Clear,State Highway,Damaged,Dark,12.9716,77.5946,Afternoon
Bengaluru,18-30,Medium Risk,No distancing,Car,Hazy,Urban Road,Wet,Daylight,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,No distancing,Cycle,Clear,Village Road,Under Construction,Dusk,12.9716,77.5946,Morning
Bengaluru,18-30,Medium Risk,No distancing,Car,Stormy,State Highway,Under Construction,Daylight,12.9716,77.5946,Afternoon
Bengaluru,31-50,Medium Risk,Changing lane to the left,Two-Wheeler,Clear,Highways,Normal,Daylight,12.9716,77.5946,Morning
Amritsar,31-50,Low Risk,No priority to vehicle,Two-Wheeler,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Bhopal,18-30,Medium Risk,Driving at high speed,Cycle,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Bhopal,18-30,Medium Risk,Overtaking,Auto-Rickshaw,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Night
Bhopal,50+,Medium Risk,Other,Two-Wheeler,Stormy,Urban Road,Wet,Daylight,20.5937,78.9629,Afternoon
Ahmedabad,31-50,Low Risk,Changing lane to the left,Two-Wheeler,Clear,Highways,Normal,Daylight,23.0225,72.5714,Night
